Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-05-13,The Descent,2005,https://boxd.it/9G3Iod,3,,Failures of QTEs : A Study.,,2025-05-13
2025-05-17,The Secret Life of Walter Mitty,2013,https://boxd.it/9IcaCr,4,,Severance before Severance.,,2025-05-17
